タイトル,プレイスタイル,譜面モード,難易度,MINBPM,MAXBPM,S,1,2,3,4,5,6,7,TOTALNOTES,ソフラン回数,乱打,同時,階段,トリ,縦連,皿,CN,PLAYTIME,MAXNPS,MAXNPS_BW,MAXNPS_S,MEANNPS,MEANNPS_BW,MEANNPS_S,VARNPS,VARNPS_BW,VARNPS_S
キャトられ♥恋はモ～モク,SP,ANOTHER,12,196,196,157,377,175,245,277,289,237,231,1988,0,28.2,25.5,48.7,19.0,9.1,13.0,0.0,127.34,28.58,27.77,6.53,15.32,14.11,1.21,35.56,28.98,2.42
†渚の小悪魔ラヴリィ～レイディオ†(IIDX EDIT),SP,ANOTHER,12,190,190,143,370,190,283,182,217,253,197,1835,0,23.1,45.0,42.8,20.9,7.3,12.7,0.0,105.31,27.71,22.96,6.33,17.29,15.95,1.35,20.23,15.07,2.13
音楽,SP,ANOTHER,12,210,360,12,235,195,158,201,241,232,213,1487,21,11.8,34.2,35.2,33.2,45.0,0.8,0.0,130.55,29.17,29.17,2.25,10.77,10.68,0.09,48.24,46.9,0.14
シュレーディンガーの猫,SP,ANOTHER,12,187,187,46,133,224,224,238,265,299,288,1717,0,22.3,40.1,51.8,35.7,3.7,2.9,0.0,107.48,24.93,24.93,3.9,14.86,14.47,0.4,22.13,22.36,0.66
即席！脳直★ミュージックシステム,SP,ANOTHER,12,197,197,154,284,192,242,266,251,218,231,1838,0,25.0,25.3,49.5,8.8,1.3,12.7,0.0,116.11,24.62,22.98,4.1,14.79,13.55,1.24,12.21,10.48,1.6
たまゆら,SP,ANOTHER,12,180,180,80,195,198,196,217,162,199,160,1407,0,18.8,46.4,35.7,18.7,3.9,7.0,0.0,107.06,26.25,24.0,4.5,13.03,12.29,0.74,60.5,55.02,1.34
仮想空間の旅人たち†,SP,ANOTHER,12,151,151,28,306,237,283,265,292,243,289,1943,0,35.5,24.7,65.9,35.7,6.3,1.8,0.0,118.01,28.31,27.68,2.52,15.47,15.25,0.22,35.32,34.97,0.18
トリカゴノ鳳凰,SP,ANOTHER,12,185,185,81,257,281,265,295,268,258,227,1932,0,40.5,11.4,47.2,12.8,8.1,4.8,10.4,129.56,23.9,20.81,3.08,14.89,14.27,0.62,19.0,16.52,0.61
Adularia,SP,ANOTHER,12,180,180,23,281,173,213,247,197,185,130,1449,0,26.5,12.8,53.4,8.8,6.7,1.4,34.8,108.83,18.75,18.75,1.5,13.09,12.89,0.21,12.68,13.08,0.16
Ancient Scapes,SP,ANOTHER,12,178,178,86,321,186,241,229,245,224,248,1780,0,28.0,17.9,61.0,15.6,7.3,7.2,0.0,120.0,22.99,21.51,6.68,14.51,13.81,0.7,23.09,25.62,1.65
Ancient Scapes†LEGGENDARIA,SP,ANOTHER,12,178,178,110,342,249,300,288,335,283,291,2198,0,36.5,9.6,70.4,29.3,10.9,8.4,0.0,120.0,27.44,25.96,6.68,17.91,17.02,0.9,29.95,33.07,2.15
BLUE DRAGON(雷龍RemixIIDX),SP,ANOTHER,12,188,188,166,233,203,213,256,194,229,233,1727,0,6.6,75.5,17.7,24.9,11.0,19.3,26.1,112.02,26.63,26.63,8.62,15.03,13.59,1.44,48.73,46.71,6.62
Close the World feat.a☆ru,SP,ANOTHER,12,188,188,91,296,174,241,268,237,199,233,1739,0,24.7,29.4,51.6,28.9,9.6,7.7,0.0,114.73,25.85,24.28,4.7,15.14,14.34,0.79,38.15,39.42,1.0
Close the World feat.a☆ru†LEGGENDARIA,SP,ANOTHER,12,188,188,126,306,220,259,294,270,253,255,1983,0,28.0,27.2,60.1,37.4,4.1,11.4,0.0,114.73,27.42,26.63,5.48,17.26,16.16,1.1,46.09,48.07,2.02
DARK LEGACY,SP,ANOTHER,12,196,196,66,273,229,243,239,279,242,257,1828,0,20.0,64.4,30.3,9.0,3.6,6.2,0.0,120.76,26.95,24.5,4.9,14.78,14.25,0.53,36.08,35.01,1.05
Feel The Beat,SP,ANOTHER,12,175,175,184,249,222,256,274,244,225,176,1830,0,39.3,12.8,55.4,3.5,0.3,16.1,0.0,120.51,22.6,19.69,5.1,15.16,13.64,1.52,13.09,10.82,2.5
Feel The Beat†LEGGENDARIA,SP,ANOTHER,12,175,175,184,285,250,329,337,334,278,228,2225,0,35.1,13.2,70.2,33.6,1.6,13.7,0.0,120.51,34.27,32.81,5.1,18.44,16.91,1.52,42.01,43.96,2.37
Idola,SP,ANOTHER,12,201,201,72,245,265,253,266,271,233,221,1826,0,20.2,35.2,43.8,18.9,7.0,5.0,0.0,123.28,22.61,22.61,3.35,14.56,13.99,0.57,27.32,26.23,0.6
Immortal,SP,ANOTHER,12,208,208,152,258,161,226,194,236,165,215,1607,0,12.2,44.4,25.0,9.9,7.1,14.7,0.0,110.19,26.87,23.4,4.33,14.21,12.87,1.34,33.7,29.03,2.19
INSOMNIA,SP,ANOTHER,12,195,195,189,239,134,228,245,266,188,172,1661,0,12.6,41.5,35.9,13.9,13.3,45.6,0.0,115.38,26.81,24.38,13.0,14.06,12.46,1.6,30.24,33.38,5.75
invoker,SP,ANOTHER,12,195,195,150,276,165,228,226,190,176,213,1624,0,19.9,20.5,34.0,2.5,8.2,14.3,0.0,123.23,20.31,19.5,6.5,13.06,11.86,1.21,21.16,18.32,1.95
invoker†LEGGENDARIA,SP,ANOTHER,12,195,195,231,279,181,248,249,235,209,219,1851,0,21.9,20.3,40.7,3.3,5.7,28.9,0.0,123.23,26.0,23.56,12.19,14.89,13.03,1.86,28.2,24.41,5.39
KAISER PHOENIX,SP,ANOTHER,12,170,170,80,259,176,239,254,255,153,277,1693,0,16.0,27.6,58.6,46.3,16.4,5.1,0.0,98.82,29.75,29.75,2.83,16.89,16.09,0.8,21.53,23.15,0.59
Last Dance,SP,ANOTHER,12,150,150,65,235,228,234,201,243,233,211,1650,0,35.7,1.3,76.1,56.1,8.5,5.4,6.1,113.1,25.62,25.62,1.25,14.32,13.76,0.56,41.12,41.33,0.27
PUNISHER,SP,ANOTHER,12,180,180,128,285,215,234,247,272,220,211,1812,0,23.5,35.0,52.0,15.3,2.0,9.2,0.0,113.33,22.5,21.0,4.5,15.8,14.69,1.12,11.67,12.78,1.57
ra'am,SP,ANOTHER,12,111,222,104,213,171,205,179,200,187,202,1461,5,16.6,63.0,18.2,14.7,13.4,13.2,17.5,98.1,29.6,29.6,6.48,14.91,13.84,1.08,47.53,46.08,3.72
Sigmund,SP,ANOTHER,12,200,200,111,365,245,245,293,289,277,204,2029,0,33.0,8.1,71.3,38.6,4.7,31.5,13.9,117.6,30.83,30.0,10.0,16.91,15.98,0.92,35.02,31.53,4.42
Sigmund†LEGGENDARIA,SP,ANOTHER,12,200,200,132,374,279,283,327,328,306,238,2267,0,29.3,12.3,75.7,44.7,5.4,33.0,21.9,117.6,33.33,30.0,10.0,18.89,17.79,1.1,37.94,33.94,5.79
Verflucht,SP,ANOTHER,12,180,180,27,332,180,292,234,269,217,254,1805,0,31.0,3.7,85.1,56.3,5.1,1.9,0.0,109.33,24.75,24.0,3.0,16.12,15.88,0.24,48.48,50.04,0.31
Verflucht†LEGGENDARIA,SP,ANOTHER,12,180,180,83,315,314,356,341,348,327,317,2401,0,34.6,8.2,88.7,53.6,1.3,12.5,1.8,109.33,36.0,36.0,11.25,21.44,20.7,0.74,53.0,58.16,4.83
VOX UP,SP,ANOTHER,12,202,202,254,436,124,222,244,208,219,163,1870,0,5.4,40.5,25.9,37.2,23.5,23.7,0.0,121.18,29.46,26.93,7.58,14.99,12.95,2.04,38.24,31.37,4.1
煉獄のエルフェリア,SP,ANOTHER,12,183,183,94,254,222,299,293,318,274,246,2000,0,28.2,11.4,81.5,48.1,16.1,5.5,0.0,116.06,32.02,28.98,3.81,16.76,15.97,0.79,47.39,43.88,0.77
疾風迅雷,SP,ANOTHER,12,180,180,39,252,172,226,228,221,188,167,1493,0,23.8,15.7,55.2,24.6,12.2,2.8,0.0,108.83,21.0,21.0,2.25,13.17,12.83,0.34,20.89,20.48,0.26
疾風迅雷†LEGGENDARIA,SP,ANOTHER,12,180,180,231,234,196,258,275,261,214,155,1824,0,24.2,17.5,54.1,35.4,11.1,27.9,14.3,111.31,36.75,36.0,9.0,16.09,14.06,2.04,46.49,47.6,5.53
IX,SP,ANOTHER,12,198,198,134,301,230,288,241,286,278,249,2007,0,29.1,20.9,53.2,24.8,5.9,14.2,10.1,118.63,30.52,29.7,9.07,16.73,15.61,1.12,34.71,31.07,3.0
旋律のドグマ～Misérables～,SP,ANOTHER,12,192,192,67,280,253,312,268,295,291,236,2002,0,33.5,24.1,51.7,20.0,2.7,4.4,1.0,132.5,24.0,22.4,4.8,14.97,14.47,0.5,25.08,25.06,0.75
轟け！恋のビーンボール！！,SP,ANOTHER,12,180,180,125,326,166,261,248,250,234,224,1834,0,20.2,27.2,55.0,19.4,26.5,10.9,0.0,106.83,27.0,25.5,6.75,16.98,15.82,1.16,15.63,14.35,2.31
廿†,SP,ANOTHER,12,120,160,255,270,175,240,199,243,170,179,1731,1,26.6,25.7,39.3,37.6,11.0,56.7,0.0,119.0,24.67,24.0,10.67,14.53,12.39,2.14,29.6,29.97,8.59
海神,SP,ANOTHER,12,159,159,120,273,176,231,234,249,180,166,1629,0,24.9,19.2,49.0,21.2,5.8,12.7,25.2,120.12,21.2,21.2,5.3,13.32,12.34,0.98,25.23,20.78,2.22
Beat Radiance†,SP,ANOTHER,12,192,192,97,318,194,253,246,265,225,211,1809,0,4.5,94.5,8.5,3.7,3.3,8.3,0.0,105.31,25.6,23.2,4.8,16.83,15.93,0.9,22.19,20.55,1.59
BLUE MIRAGE,SP,ANOTHER,12,170,170,256,228,127,212,167,230,150,236,1606,0,22.3,16.3,44.6,5.8,6.5,31.0,0.0,111.52,23.38,21.96,8.5,14.04,11.81,2.24,31.69,22.44,7.31
Broken Sword,SP,ANOTHER,12,160,160,34,264,269,284,288,271,247,230,1887,0,31.4,21.1,71.4,35.9,2.2,2.2,0.0,114.0,26.67,26.67,2.67,15.16,14.88,0.27,28.23,28.08,0.39
CHRONO DIVER -NORNIR-†,SP,ANOTHER,12,185,185,78,328,302,309,318,329,266,303,2233,0,20.2,46.8,51.1,44.7,13.9,4.7,2.7,115.78,26.21,25.44,5.4,18.71,18.06,0.65,24.02,26.77,1.19
Chrono Diver -PENDULUMs-,SP,ANOTHER,12,196,196,48,258,326,328,342,358,304,258,2222,0,28.1,28.3,63.9,39.4,9.2,2.7,0.0,118.77,31.03,31.03,2.45,18.52,18.12,0.4,50.96,51.08,0.33
cinder,SP,ANOTHER,12,216,216,61,237,192,236,237,219,219,200,1601,0,13.7,41.2,36.7,23.5,3.7,4.3,33.3,120.64,24.3,24.3,3.6,13.85,13.33,0.53,35.22,34.1,0.43
Cosmic Cat†,SP,ANOTHER,12,160,160,84,225,208,255,229,237,205,208,1651,0,24.5,38.1,46.7,19.9,4.2,6.7,8.5,120.0,22.67,22.67,2.67,13.59,12.9,0.69,36.92,33.96,0.93
Despair of ELFERIA,SP,ANOTHER,12,205,205,69,308,272,283,306,306,303,249,2096,0,11.4,69.7,22.0,6.6,11.7,4.5,0.0,119.7,39.29,37.58,3.42,25.58,24.73,0.84,42.38,38.67,0.69
EBONY & IVORY,SP,ANOTHER,12,170,170,109,254,211,191,206,219,163,167,1520,0,23.9,30.1,48.6,22.2,4.7,7.7,0.0,97.76,25.5,25.5,3.54,15.38,14.28,1.1,38.06,37.75,1.1
EBONY & IVORY†,SP,ANOTHER,12,113,170,52,278,185,287,319,311,254,201,1887,2,23.6,24.1,70.3,59.1,24.0,3.2,9.1,97.8,29.04,29.04,4.25,18.75,18.22,0.52,26.72,27.07,0.58
entelecheia,SP,ANOTHER,12,185,185,9,267,197,232,251,268,235,198,1657,0,28.4,32.3,43.0,9.5,8.2,0.6,23.4,100.54,24.67,24.67,0.77,16.38,16.29,0.09,18.4,18.42,0.06
fallen leaves -IIDX edition-,SP,ANOTHER,12,165,165,59,267,207,227,252,277,234,222,1745,0,37.0,14.3,57.8,15.0,5.2,4.4,22.0,107.09,26.81,24.75,6.19,16.0,15.46,0.54,22.77,22.95,0.91
FANTASTIC THREE,SP,ANOTHER,12,185,185,198,212,203,206,253,223,189,165,1649,0,25.4,26.8,29.6,15.6,7.5,28.6,0.0,117.4,21.58,21.58,10.79,13.82,12.16,1.66,14.15,25.64,8.15
Flashes,SP,ANOTHER,12,180,180,127,177,222,246,245,255,214,205,1691,0,33.0,8.2,59.0,7.6,0.5,12.8,24.2,111.97,24.75,24.75,8.25,15.1,13.96,1.13,16.51,18.74,3.84
Gravigazer,SP,ANOTHER,12,160,160,124,195,180,224,209,246,187,168,1533,0,48.9,4.5,46.8,16.0,5.1,9.4,7.7,108.37,22.67,21.33,6.0,13.81,12.69,1.12,26.9,28.46,2.07
IMPLANTATION,SP,ANOTHER,12,145,145,19,197,150,121,205,207,132,132,1163,0,25.0,4.6,44.4,27.1,69.3,1.8,0.0,89.27,20.54,20.54,1.81,12.78,12.57,0.21,20.04,19.92,0.14
Invitation from Mr.C,SP,ANOTHER,12,230,230,179,249,169,151,149,235,112,161,1405,0,7.8,41.8,12.6,0.6,6.1,19.0,19.9,107.21,21.08,20.12,5.75,13.07,11.41,1.67,37.06,35.68,2.9
Ludus In Tenebris,SP,ANOTHER,12,126,126,80,254,234,249,246,294,257,195,1809,0,24.0,10.3,69.3,57.8,56.4,6.3,0.0,113.33,24.15,23.62,3.15,15.57,14.88,0.69,14.37,13.8,0.59
Monopole.,SP,ANOTHER,12,201,201,79,253,195,239,252,249,215,247,1729,0,18.8,38.9,35.8,23.9,17.7,6.0,19.1,114.47,27.64,25.12,3.35,15.08,14.39,0.69,22.7,20.06,0.62
NEO GENERATOR SEVEN,SP,ANOTHER,12,182,182,136,264,170,278,166,255,178,243,1690,0,21.7,33.6,39.6,21.6,3.8,11.4,0.0,117.36,26.54,24.27,5.31,14.24,13.09,1.15,43.48,40.34,1.97
Rave*it!! Rave*it!!,SP,ANOTHER,12,282,282,167,203,196,228,228,226,198,210,1656,0,4.8,166.5,7.6,7.8,8.5,16.7,19.5,102.65,35.25,32.9,5.88,15.82,14.22,1.6,80.29,85.53,2.65
Reflux,SP,ANOTHER,12,150,150,176,178,204,226,223,242,184,141,1574,0,20.5,29.7,34.7,19.5,15.6,32.5,28.6,115.2,21.88,21.25,10.0,13.48,11.97,1.51,17.07,19.97,4.01
Say YEEEAHH,SP,ANOTHER,12,135,135,63,230,195,245,260,256,204,224,1677,0,21.3,45.5,38.2,34.5,29.1,4.0,0.0,117.33,24.75,22.5,2.25,14.08,13.55,0.53,37.14,36.9,0.56
Shooting Fireball,SP,ANOTHER,12,160,160,27,311,280,304,274,282,273,232,1983,0,36.9,5.2,78.0,35.1,8.7,1.6,0.0,122.06,26.0,26.0,1.33,15.93,15.71,0.22,28.42,27.96,0.12
Sounds Of Summer,SP,ANOTHER,12,175,175,50,302,170,192,191,223,171,214,1513,0,14.9,49.3,36.1,38.3,3.9,3.6,4.4,111.08,24.06,24.06,2.92,13.29,12.85,0.44,24.34,26.1,0.61
SpaceLand☆TOYBOX,SP,ANOTHER,12,172,172,51,226,190,205,234,227,204,164,1501,0,26.7,20.2,51.8,16.8,10.2,3.4,0.0,99.59,30.1,28.67,2.15,15.15,14.64,0.51,13.81,13.28,0.33
Symmetry,SP,ANOTHER,12,163,163,56,235,236,238,248,223,222,201,1659,0,29.8,12.0,61.9,6.5,3.0,4.0,0.0,114.84,21.05,21.05,2.72,14.26,13.78,0.48,21.74,20.31,0.33
The Least 100sec,SP,ANOTHER,12,200,264,108,237,170,197,190,233,180,190,1505,13,27.9,14.6,60.3,54.3,5.6,9.3,0.0,96.03,23.1,22.0,4.4,15.47,14.37,1.1,15.8,16.96,1.3
TIEFSEE,SP,ANOTHER,12,165,165,41,272,191,278,298,263,214,195,1752,0,41.2,2.4,72.2,29.0,3.5,2.5,0.0,119.27,22.69,22.0,1.38,14.17,13.84,0.33,23.85,23.19,0.2
TOXIC VIBRATION,SP,ANOTHER,12,197,197,75,330,199,291,252,284,237,265,1933,0,26.3,22.7,51.0,39.5,6.8,4.8,0.0,123.12,25.45,24.62,3.28,15.56,14.95,0.6,20.82,20.77,0.43
We're so Happy (P*Light Remix) IIDX ver.,SP,ANOTHER,12,185,185,169,306,220,240,254,240,232,235,1896,0,26.7,40.2,30.1,10.4,4.5,15.2,0.0,117.4,27.75,24.67,7.71,15.89,14.47,1.42,31.86,32.74,3.31
ZZ,SP,ANOTHER,12,154,154,26,236,188,209,275,229,204,174,1541,0,33.2,6.6,67.8,37.7,2.9,1.7,11.6,103.44,21.82,21.18,1.93,14.76,14.51,0.25,21.26,20.71,0.22
紅牡丹,SP,ANOTHER,12,181,181,135,209,155,200,190,188,174,194,1445,0,21.9,32.2,34.5,4.7,1.8,10.6,0.0,101.76,21.87,21.12,3.02,14.15,12.83,1.32,15.37,15.39,1.47
表裏一体!?怪盗いいんちょの悩み♥,SP,ANOTHER,12,165,165,111,224,242,263,241,287,213,234,1815,0,23.8,21.5,60.2,40.8,11.3,8.9,0.0,120.72,21.31,21.31,4.81,14.68,13.78,0.9,10.14,9.41,1.25
共鳴遊戯の華,SP,ANOTHER,12,190,190,60,242,263,302,321,324,263,225,2000,0,29.4,9.7,72.2,18.8,4.2,4.4,19.2,117.47,29.29,29.29,3.17,16.84,16.34,0.51,28.71,28.01,0.63
リリーゼと炎龍レーヴァテイン,SP,ANOTHER,12,200,200,73,249,232,249,248,249,230,241,1771,0,21.4,44.7,37.4,8.2,5.2,4.9,20.7,105.45,24.17,23.33,3.33,16.4,15.72,0.68,9.02,8.1,0.75
夏色DIARY - L.E.D.-G STYLE MIX -,SP,ANOTHER,12,190,190,92,302,123,239,219,202,191,222,1590,0,29.1,13.3,50.9,14.6,4.3,8.5,18.4,106.1,26.92,22.96,4.75,14.81,13.95,0.86,21.98,19.91,1.47
千年ノ理,SP,ANOTHER,12,153,153,28,261,186,269,234,214,167,249,1608,0,19.0,44.9,44.4,6.2,5.1,2.0,0.0,114.98,22.31,21.04,3.19,13.49,13.25,0.23,18.75,18.08,0.28
少年は空を辿る,SP,ANOTHER,12,140,140,78,218,231,259,245,254,239,205,1729,0,20.4,16.5,59.9,40.8,42.4,6.6,24.5,116.78,23.92,23.92,2.92,14.41,13.76,0.65,32.59,32.31,0.54
それは花火のような恋,SP,ANOTHER,12,182,182,146,316,184,269,275,286,219,281,1976,0,26.6,22.1,59.8,15.2,2.7,11.4,0.0,121.64,24.27,24.27,4.55,16.11,14.92,1.19,8.65,8.99,2.01
超青少年ノ為ノ超多幸ナ超古典的超舞曲†,SP,ANOTHER,12,150,150,19,277,296,339,303,334,279,263,2110,0,28.6,16.6,82.0,78.6,41.5,1.3,0.0,118.0,30.62,30.62,2.5,17.82,17.66,0.16,31.16,31.4,0.21
AO-1,SP,ANOTHER,12,195,195,170,231,170,171,187,177,167,170,1443,0,17.8,39.9,15.6,3.8,3.4,24.6,17.9,100.76,24.38,20.31,9.75,14.3,12.61,1.68,24.19,17.33,6.42
Blue Spring Express,SP,ANOTHER,12,172,172,116,285,217,184,240,255,212,219,1728,0,29.2,16.5,55.4,26.2,7.9,12.5,0.0,107.79,30.82,27.23,5.73,15.88,14.81,1.07,29.24,26.54,2.17
CODE:1 [revision1.0.1],SP,ANOTHER,12,145,145,74,253,163,250,199,266,193,192,1590,0,24.1,4.5,77.7,55.7,3.7,5.7,0.0,112.55,22.96,21.75,3.62,13.92,13.27,0.65,38.01,36.86,0.69
Devil's Gear,SP,ANOTHER,12,180,180,181,326,173,199,234,244,198,238,1793,0,28.5,15.2,50.8,37.4,8.8,14.9,0.0,122.66,28.5,27.75,6.0,14.46,13.0,1.46,46.23,39.89,1.89
DIAMOND CROSSING,SP,ANOTHER,12,180,180,66,249,170,245,252,258,184,161,1585,0,19.7,34.3,40.2,11.7,5.2,5.4,74.9,99.94,24.0,24.0,4.5,15.44,14.8,0.64,17.93,14.59,1.3
Dynamite,SP,ANOTHER,12,100,100,365,265,197,234,207,251,198,236,1953,0,22.0,4.0,52.3,46.6,68.8,45.2,20.7,120.67,22.5,20.42,5.42,15.88,12.97,2.91,11.76,13.44,3.59
Godspeed,SP,ANOTHER,12,165,165,49,292,214,231,207,261,187,190,1631,0,21.5,25.2,48.2,21.8,17.9,3.5,20.7,106.0,22.69,22.0,2.75,15.36,14.9,0.46,20.89,19.43,0.37
Grand Chariot,SP,ANOTHER,12,191,191,126,330,216,241,234,259,203,166,1775,0,34.0,24.9,46.7,14.6,2.0,10.6,19.7,120.92,27.85,23.08,4.77,14.56,13.53,1.03,37.13,30.36,1.68
Highcharge Divolt,SP,ANOTHER,12,200,200,70,216,155,227,199,213,169,172,1421,0,20.1,29.8,26.2,17.0,6.7,6.5,20.4,106.5,22.5,22.5,5.0,13.31,12.65,0.66,22.54,21.27,1.19
Konzert V,SP,ANOTHER,12,160,160,62,263,221,211,269,219,236,229,1710,0,20.6,20.7,60.1,53.2,7.6,4.4,0.0,118.68,36.0,36.0,2.67,14.07,13.56,0.51,30.86,31.21,0.46
M4K3 1T B0UNC3,SP,ANOTHER,12,150,150,116,237,161,204,233,215,174,206,1546,0,27.1,20.4,42.4,25.9,9.2,10.7,8.0,114.8,22.5,20.0,3.75,13.42,12.41,1.01,21.41,19.62,1.0
Nightmare before oversleep,SP,ANOTHER,12,190,190,52,205,200,211,239,208,213,172,1500,0,16.3,32.3,39.8,4.8,4.4,4.1,0.0,115.89,26.92,26.12,3.17,11.99,11.58,0.42,33.78,33.17,0.52
NINJA IS DEAD IIDX ver.,SP,ANOTHER,12,111,222,64,293,174,221,201,229,163,175,1520,2,9.5,52.5,20.3,4.9,6.5,4.7,0.0,112.43,25.9,25.9,3.7,13.57,13.0,0.58,31.11,33.19,0.63
NZM,SP,ANOTHER,12,190,190,79,262,228,265,234,256,218,241,1783,0,24.5,24.7,45.8,23.6,6.5,7.0,61.2,115.42,26.92,26.12,3.96,15.18,14.51,0.67,33.91,31.53,1.03
POSSESSION,SP,ANOTHER,12,23,185,31,312,208,198,199,196,190,187,1521,7,17.3,66.2,30.3,19.6,6.1,2.6,3.1,103.92,20.81,20.81,1.94,14.67,14.44,0.24,18.63,19.14,0.2
refrain,SP,ANOTHER,12,158,158,21,256,230,281,291,277,266,235,1857,0,32.0,5.5,82.3,35.6,7.3,1.2,0.0,109.36,24.36,24.36,1.32,16.75,16.56,0.19,21.53,21.81,0.16
STARLIGHT DANCEHALL†,SP,ANOTHER,12,177,177,220,257,177,223,213,229,192,201,1712,0,19.8,35.6,37.3,8.0,3.1,28.7,0.0,109.83,26.55,23.6,11.8,15.21,13.26,1.95,32.98,29.04,5.51
StrayedCatz,SP,ANOTHER,12,303,303,55,265,182,214,202,243,187,142,1490,0,14.6,35.7,26.5,4.4,31.3,4.2,0.0,115.04,26.51,25.25,5.05,12.38,11.92,0.46,58.31,55.26,0.71
Triple Counter,SP,ANOTHER,12,216,216,93,375,215,273,276,270,254,260,2016,0,15.5,59.3,33.9,2.6,4.3,7.1,28.8,124.86,31.5,30.6,5.4,15.92,15.18,0.73,47.19,39.82,1.27
X,SP,ANOTHER,12,180,180,28,258,264,314,283,292,248,265,1952,0,30.0,14.1,72.3,35.4,5.9,1.7,0.0,117.16,28.5,28.5,3.0,16.64,16.4,0.24,32.02,30.04,0.25
199024club -Re:BounceKiller-,SP,ANOTHER,12,143,143,438,137,103,136,105,153,87,101,1260,0,13.3,9.2,21.4,8.2,3.3,121.9,0.0,120.73,17.88,14.3,10.72,10.43,6.8,3.62,16.26,10.47,12.32
紫陽花 -AZISAI-,SP,ANOTHER,12,155,155,117,253,157,214,188,227,165,169,1490,0,36.8,13.1,43.6,15.2,13.4,14.2,10.6,114.58,20.67,20.02,8.4,12.83,11.82,1.01,23.63,28.11,2.89
駅猫のワルツ,SP,ANOTHER,12,282,282,128,291,140,208,227,226,180,158,1558,0,20.5,7.9,64.0,33.4,29.4,10.7,0.0,102.76,30.55,29.38,4.7,11.16,10.25,0.92,16.63,13.98,0.98
めいさいアイドル☆あいむちゃん♪,SP,ANOTHER,12,160,160,74,287,237,241,255,216,198,209,1717,0,28.0,19.1,55.1,22.0,4.5,5.4,0.0,116.53,26.0,23.33,4.67,14.49,13.86,0.62,25.61,23.75,1.06
灼熱 Pt.2 Long Train Running,SP,ANOTHER,12,165,165,753,177,131,167,148,139,150,139,1804,0,11.7,26.5,5.8,6.4,12.4,108.0,2.5,119.09,22.0,14.44,11.0,15.12,8.81,6.31,9.57,4.89,5.72
真 地獄超特急 -HELL or HELL-,SP,ANOTHER,12,165,165,345,269,96,229,211,203,175,199,1727,0,13.3,34.7,26.0,12.1,5.2,57.3,35.2,120.0,23.38,22.0,9.62,14.13,11.31,2.82,28.39,22.07,12.39
Amazing Mirage†,SP,ANOTHER,12,153,153,173,244,196,233,232,237,200,169,1684,0,25.4,19.3,49.4,29.9,14.6,16.8,2.4,112.94,22.31,20.4,5.1,14.71,13.2,1.51,23.98,22.11,2.15
Apocalypse,SP,ANOTHER,12,165,165,69,254,242,270,281,260,255,183,1814,0,29.2,20.5,52.7,22.1,10.3,6.1,9.2,128.0,19.25,17.88,5.5,14.01,13.48,0.53,9.14,9.82,1.09
Caterpillar,SP,ANOTHER,12,170,170,279,205,156,192,211,175,127,216,1561,0,12.2,25.8,27.6,12.9,15.3,67.2,0.0,118.58,22.67,22.67,8.5,13.01,10.68,2.33,14.63,18.41,8.35
DORNWALD ～Junge～,SP,ANOTHER,12,169,169,69,278,234,273,294,310,243,202,1903,0,41.8,2.4,71.2,40.3,16.4,4.6,0.0,122.13,28.87,26.05,4.23,15.4,14.84,0.56,25.97,23.27,0.85
ECHIDNA,SP,ANOTHER,12,146,146,90,242,234,260,269,258,241,181,1775,0,30.6,3.9,68.6,55.9,15.2,7.3,63.5,113.42,26.77,24.94,4.87,15.21,14.44,0.77,38.69,34.38,0.98
FUZIN RIZIN,SP,ANOTHER,12,190,190,93,360,220,289,256,251,250,210,1929,0,20.2,34.6,49.9,15.7,10.3,7.0,0.0,120.47,24.54,22.96,3.17,16.07,15.3,0.78,14.86,15.43,0.71
Go Ahead!!,SP,ANOTHER,12,200,200,98,219,145,203,197,235,173,143,1413,0,15.9,19.5,43.1,41.5,4.9,9.4,15.9,117.6,31.67,30.83,3.33,11.89,11.07,0.82,75.21,72.65,1.1
GuNGNiR,SP,ANOTHER,12,222,222,150,352,176,276,332,309,281,205,2081,0,39.8,12.7,62.3,8.2,1.4,22.1,7.7,126.46,30.52,27.75,11.1,16.18,15.01,1.17,29.94,23.31,5.37
HADES,SP,ANOTHER,12,155,155,196,245,152,223,231,238,177,139,1601,0,26.1,16.5,41.7,26.5,15.3,19.8,0.0,119.22,25.19,21.31,8.4,13.09,11.49,1.6,30.2,31.75,3.47
Mare Nectaris,SP,ANOTHER,12,256,256,75,320,272,291,319,295,287,235,2094,0,20.1,5.6,80.5,73.1,46.1,6.9,1.2,120.93,35.2,35.2,6.4,17.18,16.57,0.62,57.62,58.76,1.36
OTENAMI Hurricane,SP,ANOTHER,12,215,215,190,251,191,193,208,226,204,180,1643,0,17.3,27.1,29.6,9.4,7.0,18.7,3.6,115.53,24.19,20.6,8.06,14.02,12.4,1.62,29.32,25.84,3.27
Quakes,SP,ANOTHER,12,190,190,132,223,219,218,229,237,194,202,1654,0,36.7,9.9,52.8,22.1,5.0,12.6,15.5,111.15,34.04,33.25,6.33,14.71,13.54,1.17,53.47,52.96,2.02
RAIN,SP,ANOTHER,12,159,159,27,247,229,248,213,245,238,210,1657,0,33.7,3.7,75.7,38.2,4.2,1.6,15.4,107.16,21.86,21.2,1.32,15.25,15.0,0.25,28.47,28.43,0.17
